"Date Printed: Friday, January 14, 2022 2:53:39 PM"
Title: Congenital Syphilis | 2000 | 2001 | 2002 | 2003 | 2004 | 2005 | 2006 | 2007 | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | Alabama | Alaska | American Samoa | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Guam | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Northern Mariana Islands | Ohio | Oklahoma | Oregon | Pennsylvania | Puerto Rico | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | U.S. Virgin Islands | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | All age groups

NA - Not applicable


Indicator,Year,Geography,FIPS,Age Group,Race/Ethnicity,Sex,Cases,Rate per 100000,Population
"Congenital Syphilis","2015","Florida","12","All age groups","All races/ethnicities","Both sexes","40","17.8","NA"
"Congenital Syphilis","2014","Florida","12","All age groups","All races/ethnicities","Both sexes","48","21.8","NA"
"Congenital Syphilis","2013","Florida","12","All age groups","All races/ethnicities","Both sexes","35","16.2","NA"
"Congenital Syphilis","2012","Florida","12","All age groups","All races/ethnicities","Both sexes","37","17.4","NA"
"Congenital Syphilis","2011","Florida","12","All age groups","All races/ethnicities","Both sexes","33","15.5","NA"
"Congenital Syphilis","2010","Florida","12","All age groups","All races/ethnicities","Both sexes","20","9.3","NA"
"Congenital Syphilis","2009","Florida","12","All age groups","All races/ethnicities","Both sexes","18","8.1","NA"
"Congenital Syphilis","2008","Florida","12","All age groups","All races/ethnicities","Both sexes","17","7.3","NA"
"Congenital Syphilis","2007","Florida","12","All age groups","All races/ethnicities","Both sexes","20","8.4","NA"
"Congenital Syphilis","2006","Florida","12","All age groups","All races/ethnicities","Both sexes","21","8.9","NA"
"Congenital Syphilis","2005","Florida","12","All age groups","All races/ethnicities","Both sexes","16","7.1","NA"
"Congenital Syphilis","2004","Florida","12","All age groups","All races/ethnicities","Both sexes","16","7.3","NA"
"Congenital Syphilis","2003","Florida","12","All age groups","All races/ethnicities","Both sexes","27","12.7","NA"
"Congenital Syphilis","2002","Florida","12","All age groups","All races/ethnicities","Both sexes","28","13.6","NA"
"Congenital Syphilis","2001","Florida","12","All age groups","All races/ethnicities","Both sexes","38","18.5","NA"
"Congenital Syphilis","2000","Florida","12","All age groups","All races/ethnicities","Both sexes","42","20.6","NA"
"Congenital Syphilis","2019","Georgia","13","All age groups","All races/ethnicities","Both sexes","52","41.1","NA"
"Congenital Syphilis","2018","Georgia","13","All age groups","All races/ethnicities","Both sexes","31","24.6","NA"
"Congenital Syphilis","2017","Georgia","13","All age groups","All races/ethnicities","Both sexes","23","17.8","NA"
"Congenital Syphilis","2016","Georgia","13","All age groups","All races/ethnicities","Both sexes","21","16.1","NA"
"Congenital Syphilis","2015","Georgia","13","All age groups","All races/ethnicities","Both sexes","21","16.0","NA"
"Congenital Syphilis","2014","Georgia","13","All age groups","All races/ethnicities","Both sexes","17","13.0","NA"
"Congenital Syphilis","2013","Georgia","13","All age groups","All races/ethnicities","Both sexes","20","15.5","NA"
"Congenital Syphilis","2012","Georgia","13","All age groups","All races/ethnicities","Both sexes","16","12.3","NA"
"Congenital Syphilis","2011","Georgia","13","All age groups","All races/ethnicities","Both sexes","10","7.6","NA"
"Congenital Syphilis","2010","Georgia","13","All age groups","All races/ethnicities","Both sexes","18","13.4","NA"
"Congenital Syphilis","2009","Georgia","13","All age groups","All races/ethnicities","Both sexes","14","9.9","NA"
"Congenital Syphilis","2008","Georgia","13","All age groups","All races/ethnicities","Both sexes","11","7.5","NA"
"Congenital Syphilis","2007","Georgia","13","All age groups","All races/ethnicities","Both sexes","9","6.0","NA"
"Congenital Syphilis","2006","Georgia","13","All age groups","All races/ethnicities","Both sexes","9","6.1","NA"
"Congenital Syphilis","2005","Georgia","13","All age groups","All races/ethnicities","Both sexes","1","0.7","NA"
"Congenital Syphilis","2004","Georgia","13","All age groups","All races/ethnicities","Both sexes","6","4.3","NA"
